Source Tables,,,,,,,,Output Tables (using source inputs),,,,,,,,
,T1044_CASE,AFDC_GRANT_AMT,"DECIMAL(10,2)",,Default (Unused),,,,,,,,,,,
,T1044_CASE,UNWORK_OVERRIDE_CD,CHAR(4),,Default (Unused),,,,,,,,,,,
,T1044_CASE,PFA_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,WAGE_OVERRIDE_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,WAGE_UPFA_OVERRIDE,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,TFM_TRACKING_CD,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,TAX_EXCL_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,BILLING_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,LEGAL_FILE_ID,CHAR(5),,Default (Unused),,,,,,,,,,,
,T1044_CASE,LAST_PMT_RCP_TYP,CHAR(4),,Default (Unused),,,,,,,,,,,
,T1044_CASE,DRA_FEE_ELIG_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
VDEMO,T1045_AP_EXT,BIRTH_CITY,Char(16),Y,Business Rule,,,,,,,,,,,
VDEMO,T1045_AP_EXT,BIRTH_STATE,Char(2),Y,Business Rule,,,,,,,,,,,
VDEMO,T1045_AP_EXT,EYE_COLOR,Char(5),Y,Cross walk,,,,,,,,,,,
VDEMO,T1045_AP_EXT,HAIR_COLOR,Char(5),Y,Cross walk,,,,,,,,,,,
VDEMO,T1045_AP_EXT,HEIGHT,Char(5),Y,Business Rule,,,,,,,,,,,
VDEMO,T1045_AP_EXT,WEIGHT,"Numb(5,0)",Y,Direct,,,,,,,,,,,
,T1045_AP_EXT,MCI_NUM,VARCHAR(10),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,IDENT_MARKS,CHAR(18),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,LICENSE_STATE,CHAR(2),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,LICENSE_NUM,CHAR(12),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,LAST_SEEN_DT,DATE,,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,MILITARY,CHAR(9),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,MILITARY_ST_DT,DATE,,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,MILITARY_EN_DT,DATE,,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,KNOWN_YY,VARCHAR(22),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,KNOWN_MM,VARCHAR(22),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,FATH_NAM,CHAR(24),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,MOTH_NAM,CHAR(24),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,PLS_REFF_ID,CHAR(4),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,PLS_REFF_CASE_NUM,VARCHAR(6),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,PLS_REQ_NAM,CHAR(24),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,PLS_OPEN_DT,DATE,,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,PLS_CLOSE_DT,DATE,,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,PLS_LOCATE_ATTEMPT,VARCHAR(22),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,NOTE1,VARCHAR(78),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,NOTE2,VARCHAR(78),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,NOTE3,VARCHAR(78),,Default (Unused),,,,,,,,,,,
VLSUP,T1048_SUB_ACCT,BALANCE,"Numb(10,2)",Y,Business Rule,,,,,,,,,,,
VOBLE,T1048_SUB_ACCT,URESA_CD,"Numb(7,0)",Y,Business Rule,,,,,,,,,,,
,T1048_SUB_ACCT,CASE_NUM  ,VARCHAR(6),,Default (Unused),,,,,,,,,,,
,T1048_SUB_ACCT,SUB_TYP_CD ,CHAR(6) ,,Default (Unused),,,,,,,,,,,
,T1048_SUB_ACCT,STATUS_CD ,CHAR(4) ,,Default (Unused),,,,,,,,,,,
,T1048_SUB_ACCT,PAYEE_ACCT_NUM ,VARCHAR(6),,Default (Unused),,,,,,,,,,,
,T1048_SUB_ACCT,DEBIT_TO_DT_AMT ,DECIMAL(102),,Default (Unused),,,,,,,,,,,
,T1048_SUB_ACCT,CREDIT_TO_DT_AMT,DECIMAL(102),,Default (Unused),,,,,,,,,,,
,T1048_SUB_ACCT,DEBIT_FOR_MONTH ,DECIMAL(102),,Default (Unused),,,,,,,,,,,
,T1048_SUB_ACCT,CREDIT_FOR_MONTH,DECIMAL(102),,Default (Unused),,,,,,,,,,,
,T1048_SUB_ACCT,FREQ_AMT ,DECIMAL(102),,Default (Unused),,,,,,,,,,,
,T1048_SUB_ACCT,PERIOD_AMT ,DECIMAL(102),,Default (Unused),,,,,,,,,,,
VOBLE,T1049_COURT_ORDER,CASE_NUM,"Numb(6,0)",Y,Direct,,,,,,,,,,,
VOBLE,T1049_COURT_ORDER,CHRG_FREQ_CD,Char(4),Y,Cross walk,,,,,,,,,,,
VOBLE,T1049_COURT_ORDER,COURT_DT,"Date(3,0)",Y,Direct,,,,,,,,,,,
VSORD,T1049_COURT_ORDER,CREATE_DT,"Date(3,0)",Y,Business Rule,,,,,,,,,,,
VSORD,T1049_COURT_ORDER,INS_PROV_BY_CD,Char(4),Y,Business Rule,,,,,,,,,,,
VSORD,T1049_COURT_ORDER,MELSON_DEV_IND,Char(1),Y,Cross walk,,,,,,,,,,,
VOBLE,T1049_COURT_ORDER,ORDER_END_DT,"Date(3,0)",Y,Business Rule,,,,,,,,,,,
VSORD,T1049_COURT_ORDER,ORDER_START_DT,"Date(3,0)",Y,Direct,,,,,,,,,,,
VSORD,T1049_COURT_ORDER,ORIGINATING_ST_CD,Char(2),Y,Business Rule,,,,,,,,,,,
,T1049_COURT_ORDER,BLIND_KEY ,DECIMAL(20),,Default (Unused),,,,,,,,,,,
,T1049_COURT_ORDER,COURT_OFF_NAM ,CHAR(24) ,,Default (Unused),,,,,,,,,,,
,T1049_COURT_ORDER,CREATE_WORKER_ID ,CHAR(4) ,,Default (Unused),,,,,,,,,,,
,T1049_COURT_ORDER,MOD_TYP_CD ,CHAR(4) ,,Default (Unused),,,,,,,,,,,
,T1049_COURT_ORDER,ORDER_METHOD_CD ,CHAR(2) ,,Default (Unused),,,,,,,,,,,
,T1049_COURT_ORDER,INS_ORDERED_IND ,CHAR(1) ,,Default (Unused),,,,,,,,,,,
,T1049_COURT_ORDER,PFA_IND ,CHAR(1) ,,Default (Unused),,,,,,,,,,,
,T1049_COURT_ORDER,NEW_ORD_ENTRY_IND ,CHAR(1) ,,Default (Unused),,,,,,,,,,,
,T1049_COURT_ORDER,MAILED_DT ,DATE ,,Default (Unused),,,,,,,,,,,
,T1049_COURT_ORDER,NOTE_TXT ,VARCHAR(78),,Default (Unused),,,,,,,,,,,
VOBLE,T1050_ORD_SUB_ACCT,FREQ_AMT,"Numb(10,2)",Y,Business Rule,,,,,,,,,,,
VOBLE,T1050_ORD_SUB_ACCT,SUB_TYP_CD,Char(6),Y,Cross walk,,,,,,,,,,,
,T1050_ORD_SUB_ACCT,CASE_NUM,VARCHAR(6),,Default (Unused),,,,,,,,,,,
,T1050_ORD_SUB_ACCT,BLIND_KEY,"DECIMAL(2,0)",,Default (Unused),,,,,,,,,,,
,T1050_ORD_SUB_ACCT,FREQ_AMT,"DECIMAL(10,2)",,Default (Unused),"Not in DACSES data definition list, used in VOBL for two fields. Add to DACSES.",,,,,,,,,,
,T1050_ORD_SUB_ACCT,ORDERED_ARR_AMT,"DECIMAL(10,2)",,Default (Unused),,,,,,,,,,,
,T1050_ORD_SUB_ACCT,ARR_ADJ_AMT,"DECIMAL(10,2)",,Default (Unused),,,,,,,,,,,
VDEMO,T1051_PART_ADDRESS,HSE_PHONE_NUM,"Numb(10,0)",Y,Cross walk,,,,,,,,,,,
VOBLE,T1051_PART_ADDRESS,PAYMENT_FIPS_CD,"Numb(9,0)",Y,Business Rule,,,,,,,,,,,
,T1051_PART_ADDRESS,MCI_NUM ,VARCHAR(10),,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,BLIND_KEY ,CHAR(16) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,STREET_1_ADR ,CHAR(31) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,EFFECTIVE_DT ,DATE ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,ADD_TYP_CD ,CHAR(4) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,ADD_VER_CD ,CHAR(4) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,APARTMENT_ADR ,CHAR(5) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,STREET_2_ADR ,CHAR(31) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,CITY_ADR ,CHAR(16) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,STATE_ADR ,CHAR(2) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,ZIP_ADR ,CHAR(5) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,ZIP_SFX_ADR ,CHAR(4) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,CORR_FIPS_CD ,VARCHAR(9),,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,UPDATE_WORKER_ID ,CHAR(4) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,LAST_KNOWN_CA_IND ,CHAR(1) ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,UPDATE_DT ,DATE ,,Default (Unused),,,,,,,,,,,
,T1051_PART_ADDRESS,NOTE_TXT ,VARCHAR(78),,Default (Unused),,,,,,,,,,,
VOBLE,T1052_ORD_CHLD_INC,MCI_NUM,"Numb(10,0)",Y,Business Rule,,,,,,,,,,,
,T1052_ORD_CHLD_INC,CASE_NUM,VARCHAR(6),,Default (Unused),,,,,,,,,,,
,T1052_ORD_CHLD_INC,BLIND_KEY,"DECIMAL(2,0)",,Default (Unused),,,,,,,,,,,
,,,,,,,,,,,,,,,,
VCMEM,T1082_CASE_PART,CASE_NUM,"Numb(6,0)",Y,Direct,,,,,,,,,,,
VCMEM,T1082_CASE_PART,MCI_NUM,"Numb(10,0)",Y,Business Rule,,,,,,,,,,,
VCMEM,T1082_CASE_PART,RELATION_CD,Char(4),Y,Business Rule,,,,,,,,,,,
VCMEM,T1082_CASE_PART,STATUS_CD,Char(1),Y,Business Rule,,,,,,,,,,,
,T1082_CASE_PART, TYP_CD ,CHAR(4),,Default (Unused),,,,,,,,,,,
,T1082_CASE_PART,FCR_RPTD_CD ,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1082_CASE_PART,MMAP_IND ,CHAR(1),,Default (Unused),,,,,,,,,,,
,,,,,,,,,,,,,,,,
VOBLE,VCMEM,MemberMci_IDNO,"Numb(10,0)",Y,Direct,,,,,,,,,,,
VLSUP,VMHIS,TypeWelfare_CODE,Char(1),Y,Direct,Default value based on the Case Type converted into VCASE. ,,,,,,,,,,
VLSUP,VOBLE,Case_IDNO,"Numb(6,0)",Y,Direct,,,,,,,,,,,
VLSUP,VOBLE,CheckRecipient_CODE,Char(1),Y,Direct,,,,,,,,,,,
VLSUP,VOBLE,CHECKRECIPIENT_ID,Char(10),Y,Direct,,,,,,,,,,,
VLSUP,VOBLE,ObligationSeq_NUMB,"Numb(2,0)",Y,Direct,,,,,,,,,,,
VLSUP,VOBLE,OrderSeq_NUMB,"Numb(2,0)",Y,Direct,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
