VSORD Output Table,,,,,,,,,,
Target Column,Type,Source Table,Source Column,Type,Computed,Default,Rule Complexity,Rule/XW/Comment,Issue?,
General Table Rules,,,,,,,L,Rule:If a court order exists (T1049) and the NCP/PF is unidentified (MCI number is 999995 and the member status in VCMEM is active) do NOT convert a SORD and OBLE.,,
Case_IDNO,"Numb(6,0)",T1049_COURT_ORDER,CASE_NUM,"Numb(6,0)",,,,,,
OrderSeq_NUMB,"Numb(2,0)",,,,,1,,,,
Order_IDNO,"Numb(15,0)",,,,,zero,,,,
File_ID,Char(10),T1044_CASE,FAM_COURT_FILE,Char(11),,,,,Length,
OrderEnt_DATE,"Date(3,0)",T1049_COURT_ORDER,CREATE_DT,"Date(3,0)",,,L,"Rule:If t1049.create_dt = high date, move T1049.court_dt.",,
OrderIssued_DATE,"Date(3,0)",T1049_COURT_ORDER,COURT_DT,"Date(3,0)",,,,,,
OrderEffective_DATE,"Date(3,0)",T1049_COURT_ORDER,ORDER_START_DT,"Date(3,0)",,,,,,
OrderEnd_DATE,"Date(3,0)",T1049_COURT_ORDER,ORDER_END_DT,"Date(3,0)",,,M,"Rule:If VCASE.StatusCase_CODE = C (closed) and the VSORD.OrderEnd_DATE > conversion date
move VCASE.StatusCurrent_DATE.
If VCASE.StatusCase_CODE = O (open) and the VSORD.OrderEnd_DATE > conversion date, move high date.
If VCASE.StatusCase_CODE = O (open) and the VSORD.OrderEnd_DATE < or =  conversion date and arrears exist,
Move high date",,
ReasonStatus_CODE,Char(2),,,,,space,,,,
StatusOrder_CODE,Char(1),,,,,space,,,,
StatusOrder_DATE,"Date(3,0)",T1049_COURT_ORDER,ORDER_START_DT,"Date(3,0)",,,,,,
InsOrdered_CODE,Char(1),T1049_COURT_ORDER,INS_PROV_BY_CD,Char(4),,,,Court ordered insurance table lookup,Length,
MedicalOnly_INDC,Char(1),T1044_CASE,MED_SUP_ONLY_IND,Char(1),,,,,,
Iiwo_CODE,Char(2),T1044_CASE,WAGE_SUPPRESS_IND,Char(1),,,,"Rule:If T1044.wage_suppress_ind = Y move S
else move I.  
If T1044.ivd_typ_cd = DIRP default to N.
LOV Income Withhold Order - REFM SORD/IWOR",,
NoIwReason_CODE,Char(2),,,,,spaces,,,,
IwoInitiatedBy_CODE,Char(1),,,,,spaces,,,,
GuidelinesFollowed_INDC,Char(1),T1049_COURT_ORDER,MELSON_DEV_IND,Char(1),,,,Guidelines table lookup ,,
DeviationReason_CODE,Char(2),,,,,space,,,,
DescriptionDeviationOthers_TEXT,Char(30),,,,,space,,,,
OrderOutOfState_ID,Char(15),,,,,space,,,,
CejStatus_CODE,Char(1),T1049_COURT_ORDER,ORIGINATING_ST_CD,Char(2),,,L,"Rule:If the T1049.originating_st_cd is a valid state, move A (active)
else move U (unknown).",Length,
CejFips_CODE,Char(7),T1049_COURT_ORDER,ORIGINATING_ST_CD,Char(2),,,L,"Rule:If the state is valid, move the state fips code and move zeroes to the last 5 bytes.
If the state is not valid default to Delaware (1000000) and move U (unknown) to CejStatus_CODE.",,
IssuingOrderFips_CODE,Char(7),T1049_COURT_ORDER,ORIGINATING_ST_CD,Char(2),,,L,Rule:Fetch the state fips using VFIPS and zero fill last 5 bytes.,,
Qdro_INDC,Char(1),,,,,N,,,,
UnreimMedical_INDC,Char(1),,,,,N,,,,
CpMedical_PCT,"Numb(5,2)",,,,,zero,,,,
NcpMedical_PCT,"Numb(5,2)",,,,,zero,,,,
ParentingTime_PCT,"Numb(5,2)",,,,,zero,,,,
NoParentingDays_QNTY,"Numb(3,0)",,,,,zero,,,,
PetitionerAppeared_INDC,Char(1),,,,,Y,,,,
RespondentAppeared_INDC,Char(1),,,,,Y,,,,
OthersAppeared_INDC,Char(1),,,,,N,,,,
PetitionerReceived_INDC,Char(1),,,,,N,,,,
RespondentReceived_INDC,Char(1),,,,,N,,,,
OthersReceived_INDC,Char(1),,,,,N,,,,
PetitionerMailed_INDC,Char(1),,,,,Y,,,,
RespondentMailed_INDC,Char(1),,,,,Y,,,,
OthersMailed_INDC,Char(1),,,,,N,,,,
PetitionerMailed_DATE,"Date(3,0)",T1049_COURT_ORDER,COURT_DT,"Date(3,0)",,,,,,
RespondentMailed_DATE,"Date(3,0)",T1049_COURT_ORDER,COURT_DT,"Date(3,0)",,,,,,
OthersMailed_DATE,"Date(3,0)",,,,,low date,,,,
CoverageMedical_CODE,Char(1),T1049_COURT_ORDER,INS_PROV_BY_CD,Char(4),,,L,"Rule:Where T1044.ivd_typ_cd = DIRP or T1049.ins_ordered_ind = N   default to N
else follow crosswalk rule.",Length,
CoverageDrug_CODE,Char(1),,,,,space,,,,
CoverageMental_CODE,Char(1),,,,,space,,,,
CoverageDental_CODE,Char(1),,,,,space,,,,
CoverageVision_CODE,Char(1),,,,,space,,,,
CoverageOthers_CODE,Char(1),,,,,space,,,,
DescriptionCoverageOthers_TEXT,Char(30),,,,,space,,,,
WorkerUpdate_ID,Char(30),,,,,Conversion,,,,
BeginValidity_DATE,"Date(3,0)",,,,,conversion date,,,,
EndValidity_DATE,"Date(3,0)",,,,,high date,,,,
EventGlobalBeginSeq_NUMB,"Numb(19,0)",,,,,Conversion generated,,,,
EventGlobalEndSeq_NUMB,"Numb(19,0)",,,,,zero,,,,
DescriptionParentingNotes_TEXT,Char(4000),,,,,spaces,,,,
LastIrscReferred_DATE,"Date(3,0)",,,,,low date,,,,
LastIrscUpdated_DATE,"Date(3,0)",,,,,low date,,,,
LastIrscReferred_AMNT,"Numb(11,2)",,,,,zero,,,,
StatusControl_CODE,Char(1),,,,,P(presumed),,,,
StateControl_CODE,Char(2),T1049_COURT_ORDER,ORIGINATING_ST_CD,Char(2),,DE (when state is invalid),,,,
OrderControl_ID,Char(15),,,,,spaces,,,,
PetitionerAttorneyAppeared_INDC,Char(1),,,,,N,,,,
RespondentAttorneyAppeared_INDC,Char(1),,,,,N,,,,
PetitionerAttorneyReceived_INDC,Char(1),,,,,N,,,,
RespondentAttorneyReceived_INDC,Char(1),,,,,N,,,,
PetitionerAttorneyMailed_INDC,Char(1),,,,,N,,,,
RespondentAttorneyMailed_INDC,Char(1),,,,,N,,,,
PetitionerAttorneyMailed_DATE,"Date(3,0)",,,,,low date,,,,
RespondentAttorneyMailed_DATE,"Date(3,0)",,,,,low date,,,,
TypeOrder_CODE,Char(1),,,,,J (judicial final),,,,
ReviewRequested_DATE,"Date(3,0)",,,,,low date,,,,
NextReview_DATE,"Date(3,0)",,,,X,,M,"Rule:If case is NON IVD - move high dates 
ELSE
For court orders with current charging obligations (CS and MS):
add 3 years to T1049.court_date until this calculated date is 6 months or more from conversion date, then subtract 6 months from this date.
ELSE
move high dates. ",,
LastReview_DATE,"Date(3,0)",,,,,low date,,,,
LastNoticeSent_DATE,"Date(3,0)",,,,,low date,,,,
DirectPay_INDC,Char(1),T1044_CASE,IVD_TYP_CD,Char(4),,,,VSORD Direct Pay Indicator lookup table,Length,
SourceOrdered_CODE,Char(1),,,,,H (hearing),,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
